"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.140960083E0	-6.966431201E-1	-1.749041950E0	-5.533693212E0	5.845187759E0
3.151001083E0	-7.784937604E-1	-1.838934120E0	-4.722336491E0	5.127201300E0
3.161043083E0	-4.618667770E-1	-1.664738549E0	-3.312754646E0	3.736177017E0
3.171084083E0	1.222198903E-1	-1.230699731E0	-1.679495167E0	2.085728541E0
3.181125083E0	4.763426557E-1	-8.202281159E-1	-1.971500220E-1	9.687851253E-1
3.191166083E0	3.975256970E-1	-6.547448963E-1	5.753374419E-1	9.579826361E-1
3.201207083E0	-2.887253859E-1	-5.515304303E-1	-4.774836302E-3	6.225519762E-1
3.211248083E0	-7.333767175E-1	-6.130752987E-1	-1.024753779E0	1.401364706E0
3.221289083E0	-7.016339379E-1	-6.763930428E-1	-1.884815467E0	2.121868770E0
3.231330083E0	-7.480346639E-1	-5.721518058E-1	-2.778719085E0	2.933972273E0
3.241371083E0	-7.135709555E-1	-6.305210513E-1	-2.905967361E0	3.058003697E0
3.251413083E0	-7.222974864E-1	-8.283399582E-1	-2.937538818E0	3.136398420E0
3.261454083E0	-7.861635531E-1	-1.159291779E0	-3.219499158E0	3.511009169E0
3.271495083E0	-6.838653459E-1	-1.413128182E0	-3.664061210E0	3.986219715E0
3.281536083E0	1.680187185E-1	-1.470802778E0	-3.787376064E0	4.066412246E0
3.291577083E0	1.220971426E0	-1.329862077E0	-3.437766362E0	3.882981062E0
3.301618083E0	1.818485968E0	-1.084072613E0	-2.977816193E0	3.653695927E0
3.311659083E0	1.813890203E0	-9.562168103E-1	-2.349429668E0	3.118391897E0
3.321700083E0	1.806704560E0	-9.017154980E-1	-1.628848924E0	2.594305499E0
3.331741083E0	1.519408050E0	-1.052953146E0	-1.155063950E0	2.179789871E0
3.341783083E0	6.203582250E-1	-1.268492040E0	-8.861057711E-1	1.667063232E0
3.351824083E0	-8.110183127E-2	-1.561029409E0	-8.225120384E-1	1.766328501E0
3.361865083E0	-8.878587663E-1	-1.728455073E0	-4.595896885E-1	1.996765587E0
3.371906083E0	-1.109176902E0	-1.539415176E0	-5.724891901E-1	1.981871932E0
3.381947083E0	-1.270030881E0	-1.318890946E0	-9.067511201E-2	1.833214047E0
3.391988083E0	-6.732707758E-1	-9.502321851E-1	3.481829810E-1	1.215510646E0
3.402029083E0	2.702477825E-1	-5.734615821E-1	8.162982023E-1	1.033554452E0
3.412070083E0	8.431756599E-1	-2.146571338E-1	1.355476974E0	1.610695721E0
3.422112083E0	8.278717424E-1	1.568644238E-1	2.109989988E0	2.272011403E0
3.432153083E0	4.816768147E-1	2.278116149E-1	2.898449596E0	2.947018959E0
3.442194083E0	-1.467673056E-1	6.415331125E-2	3.406622922E0	3.410386492E0
3.452235083E0	-1.092662318E0	-6.632964492E-2	3.989958698E0	4.137400267E0
3.462276083E0	-1.612328055E0	-1.903590292E-1	4.674563570E0	4.948472783E0
3.472317083E0	-1.630773827E0	-2.529242367E-1	4.688009827E0	4.969992966E0
3.482358083E0	-1.550162943E0	-3.895988095E-1	4.050092048E0	4.354082909E0
3.492399083E0	-1.067665618E0	-4.477365053E-1	3.221368513E0	3.423096981E0
3.502440083E0	-5.906852867E-1	-3.305635661E-1	2.467010450E0	2.558187237E0
3.512482083E0	6.351516075E-1	-9.142361408E-1	1.602018390E0	1.950822444E0
3.522523083E0	-2.740604594E-1	-9.257896543E-2	1.218956768E0	1.252811080E0
3.532564083E0	-1.587691981E0	8.445268053E-1	1.254612504E0	2.192725219E0
3.542605083E0	-1.171610693E0	5.843590379E-1	1.147023152E0	1.740634715E0
3.552646083E0	-2.009432204E-1	-3.957629442E-2	9.048232931E-1	9.277120526E-1
3.562687083E0	-1.848547527E-1	-2.601636744E-1	9.043525922E-1	9.590151345E-1
3.572728083E0	-5.749081832E-1	-1.156830686E-1	1.017981534E0	1.174814196E0
3.582769083E0	-7.310874595E-1	6.276342809E-2	1.121711140E0	1.340396957E0
3.592810083E0	-5.774386389E-1	1.199491972E-1	1.211712652E0	1.347616690E0
3.602852083E0	-9.459837444E-2	5.637534499E-2	9.960369337E-1	1.002106085E0
3.612893083E0	3.154943412E-1	1.109555948E-1	6.170274317E-1	7.018337943E-1
3.622934083E0	6.364966133E-1	3.543553019E-1	1.121244532E-1	7.370668299E-1
3.632975083E0	8.681708989E-1	5.020933914E-1	-3.100959724E-1	1.049751397E0
3.643016083E0	9.810733241E-1	3.928329045E-1	-5.451429319E-1	1.189118739E0
3.653057083E0	9.919041947E-1	1.713193256E-1	-5.875469398E-1	1.165519476E0
3.663098083E0	7.273117661E-1	6.338791072E-2	-4.037356228E-1	8.342678739E-1
3.673139083E0	2.712929723E-1	1.392689824E-1	-3.828055143E-2	3.073452893E-1
3.683180083E0	8.701972514E-3	2.976145059E-1	3.623303193E-1	4.689705521E-1
3.693222083E0	3.086347532E-1	2.807306707E-1	4.384025949E-1	6.051957994E-1
3.703263083E0	7.784349959E-1	1.822770077E-1	-1.487414718E-2	7.996294083E-1
3.713304083E0	6.024253263E-1	2.028346485E-1	-4.533913475E-1	7.807828651E-1
3.723345083E0	3.775525220E-1	3.008854383E-1	-5.978111422E-1	7.684114234E-1
3.733386083E0	3.000706288E-1	1.640202463E-1	-7.408936787E-1	8.160076388E-1
3.743427083E0	1.103121087E-2	-9.986167252E-2	-8.536203951E-1	8.595125480E-1
3.753468083E0	-4.344107008E-1	-1.917576832E-1	-8.045757043E-1	9.342514276E-1
3.763509083E0	-7.450418396E-1	-9.342037976E-2	-3.567737103E-1	8.313255623E-1
3.773551083E0	-5.396573666E-1	-1.226839399E-1	3.411031723E-2	5.544771737E-1
3.783592083E0	-1.951740651E-1	-2.406515157E-1	3.744381487E-2	3.121027186E-1
3.793633083E0	-5.379482254E-2	-2.364339191E-1	-8.704983830E-2	2.576287161E-1
3.803674083E0	1.173452859E-1	-1.987825280E-1	9.593643665E-2	2.499764178E-1
3.813715083E0	2.990099439E-1	-2.462344372E-1	3.904565960E-1	5.499951800E-1
3.823756083E0	2.946178079E-1	-3.557709128E-1	4.489720219E-1	6.441649413E-1
3.833797083E0	3.417215154E-2	-4.280237871E-1	3.325463569E-1	5.431014434E-1
3.843838083E0	-3.279479603E-1	-3.703491908E-1	2.134181088E-1	5.387538186E-1
3.853879083E0	-5.827589473E-1	-1.882534468E-1	1.667392015E-1	6.347041139E-1
3.863921083E0	-3.818341456E-1	-9.540258586E-2	-3.465001523E-2	3.950944086E-1
3.873962083E0	-1.162392850E-1	-6.189336240E-2	-3.073109436E-1	3.343387141E-1
3.884003083E0	-2.011895344E-2	7.223357856E-2	-4.278074402E-1	4.343289859E-1
3.894044083E0	-9.181341872E-2	1.751147532E-1	-2.376209038E-1	3.091254998E-1
3.904085083E0	-1.699852833E-1	1.296959209E-1	-3.088616252E-2	2.160323668E-1
3.914126083E0	-1.345521797E-1	-8.158386111E-2	-1.452916145E-2	1.580231375E-1
3.924167083E0	-1.761466406E-1	-2.080579662E-1	-5.777984619E-2	2.786651520E-1
3.934208083E0	-1.867401874E-1	-1.126255596E-1	1.240369856E-2	2.184267978E-1
3.944249083E0	-8.849117696E-2	3.479385674E-2	5.951179147E-2	1.121737678E-1
3.954291083E0	1.056150404E-1	3.260699809E-2	2.376425385E-2	1.130596871E-1
3.964332083E0	2.511221248E-1	2.887472034E-2	-8.125875592E-3	2.529072970E-1
3.974373083E0	1.780458163E-1	1.001066709E-1	4.402251720E-2	2.089488939E-1
3.984414083E0	4.829990163E-2	1.568574071E-1	1.003662872E-1	1.923811796E-1
3.994455083E0	-4.598455042E-2	4.779864907E-2	9.281051517E-2	1.140748941E-1
4.004496083E0	-5.073570549E-2	-1.983586049E-1	-8.617041707E-2	2.221386700E-1
4.014536417E0	-7.380647957E-3	-2.561980927E-1	-2.426711440E-1	3.529606505E-1
4.024577417E0	5.644317269E-3	-1.399495983E-1	-3.406289631E-1	3.683012882E-1
4.034618417E0	3.316628426E-2	-4.782496154E-2	-3.208571881E-1	3.260928771E-1
4.044660417E0	1.378257434E-1	-1.912624240E-2	-2.505391574E-1	2.865861443E-1
4.054701417E0	1.919396777E-1	2.346663058E-2	-1.220635504E-1	2.286723266E-1
4.064742417E0	1.717691226E-1	2.708430290E-2	5.947670817E-2	1.837815817E-1
4.074783417E0	4.609988675E-2	4.262971044E-2	1.469528085E-1	1.598049427E-1
4.084824417E0	-9.701480940E-2	8.496530592E-2	1.190680218E-1	1.755225634E-1
4.094865417E0	-5.301246509E-2	6.272249758E-2	8.430574000E-2	1.176940566E-1
4.104906417E0	1.452233483E-1	1.601844728E-2	-2.736847758E-2	1.486453669E-1
4.114947417E0	1.726519060E-1	-1.414441466E-2	-4.546853364E-2	1.790981091E-1
4.124988417E0	2.045278560E-1	-8.038576663E-2	-8.288603604E-2	2.348693473E-1
4.135030417E0	-1.783131802E-1	-2.044689453E-1	-1.403235862E0	1.429221475E0
4.145071417E0	-3.119742443E-1	-1.147264642E-1	-1.457254195E0	1.494683872E0
4.155112417E0	-1.939090200E-1	2.675218105E-2	-2.211440349E-1	2.953321374E-1
4.165153417E0	-1.016463889E-1	6.419365704E-2	8.866589177E-1	8.947719543E-1
4.175194417E0	-1.003680414E-1	6.546074867E-2	1.177445630E0	1.183527382E0
4.185235417E0	-2.871861430E-1	4.796354055E-2	9.323782969E-1	9.767833283E-1
4.195276417E0	-4.508814302E-1	-8.539916933E-2	6.321220189E-1	7.811308015E-1
4.205317417E0	-4.545689768E-1	-5.544797659E-2	1.763327283E-1	4.907144422E-1
